year,id,wt_pooled,wt_pooled_insc,wt_no_pooling,wt_no_pooling_insc,wt_shrunken,wt_shrunken_insc
2006,358,3.009799,2.785444,2.562649,2.570024,2.89077,2.732446
2006,371,1.105722,1.025687,.9876446,.9369535,1.079548,1.005654
2006,372,.5877324,.5606855,.5869537,.5602381,.5897912,.5618967
2006,375,2.221823,2.217604,2.104096,2.100997,2.202818,2.195599
2006,377,.9767842,.7022866,1.020355,.6945997,.9908569,.7020474
2006,387,3.489705,2.841645,2.648075,2.230135,3.251003,2.662758
2006,388,6.039907,5.763444,5.949838,5.632882,6.037272,5.741027
2006,399,2.398064,2.277811,2.505617,2.322912,2.433297,2.29444
2006,403,.9850786,.966037,.9609839,.9607816,.9823612,.9667028
2006,404,1.129725,1.069128,1.195291,1.105562,1.149022,1.080498
2006,407,1.067624,1.037906,1.092499,1.070253,1.077867,1.048329
2006,409,1.070385,1.054961,1.020591,1.024397,1.062275,1.050038
2006,410,.4863347,.4685459,.5147963,.4863743,.4950326,.4740234
2006,412,1.635991,1.587677,1.689854,1.630239,1.655395,1.601979
2006,414,.9241321,.9065096,.8734367,.8679225,.9171298,.9012687
2006,416,1.061271,1.028626,1.030012,.9990285,1.057016,1.023258
2006,427,1.086708,1.068383,1.01761,1.02613,1.073205,1.0603
2006,428,4.207936,4.188619,4.00336,3.894603,4.176414,4.128856
2006,430,1.039634,1.034712,1.017064,1.01417,1.03982,1.03391
2006,431,1.503537,.8736056,2.0544,.9386936,1.612779,.891144
2006,432,2.831733,2.572859,2.614989,2.37236,2.795213,2.536448
2006,440,1.031529,1.01788,1.0168,.9827362,1.029672,1.00865
2006,445,2.014099,1.556491,1.365966,1.20229,1.834847,1.47151
2006,458,1.141302,1.099371,1.152603,1.110402,1.148702,1.104991
2006,459,1.051308,1.041373,.9850944,1.003733,1.038491,1.034329
2006,470,1.541039,1.48394,1.384186,1.350253,1.510014,1.456822
2006,472,1.093174,1.063125,1.050849,1.029466,1.085909,1.056353
2006,477,.9938114,.9809623,.943769,.9409828,.9846892,.9730732
2006,481,3.205628,2.866947,2.50524,2.406173,3.024732,2.761067
2006,482,1.009195,.9855191,.9646205,.9514006,1.002253,.979853
2006,484,2.337577,2.205494,2.217257,2.098426,2.317016,2.184817
2006,487,1.08516,1.089034,1.016186,1.025485,1.070587,1.074322
2006,488,.6357563,.5616257,.6130331,.5411093,.6328822,.5581883
2006,492,1.780667,1.737871,1.782991,1.742979,1.788566,1.74388
2006,501,2.270309,2.268807,2.42448,2.435958,2.318171,2.317154
2006,504,1.053859,1.038506,1.120042,1.111334,1.074067,1.058986
2006,506,1.17352,1.118895,1.337042,1.26516,1.213238,1.153867
2006,507,1.087296,1.088796,1.28659,1.268513,1.135017,1.131624
2006,508,.8370308,.8027919,.9783613,.9186032,.8707541,.8304668
2006,516,1.670771,1.583171,1.676198,1.63138,1.678157,1.598833
2006,517,2.246611,2.247801,2.462405,2.457646,2.306648,2.303444
2006,518,1.138226,1.115403,1.274073,1.25171,1.175161,1.150983
2006,519,2.688506,2.639992,2.921928,2.819298,2.755554,2.690733
2006,520,1.396287,1.323799,1.658718,1.51067,1.458134,1.368832
2006,521,1.018398,.9727561,1.09668,1.030255,1.041287,.9891256
2006,523,2.662475,2.55388,2.779054,2.701324,2.701797,2.596954
2006,536,1.40382,1.319941,1.150458,1.103305,1.352551,1.278131
2006,543,2.783512,2.750795,2.773115,2.753112,2.791004,2.75754
2006,544,6.958036,6.588108,5.958326,5.761759,6.698788,6.385362
2006,549,.8014643,.7754184,.9207426,.8470309,.8322273,.7943576
2006,550,1.751393,1.620947,2.122672,1.852506,1.842768,1.678485
2006,551,2.68039,2.57074,2.802691,2.642002,2.720429,2.59444
2006,552,1.134616,1.130511,1.099183,1.065621,1.130746,1.118321
2006,553,1.206057,1.205464,1.197226,1.162164,1.208927,1.198372
2006,561,2.597736,2.504622,2.605517,2.625117,2.610344,2.539084
2006,573,2.286051,2.232764,2.380607,2.320261,2.31747,2.259187
2006,576,2.510478,2.372459,2.492926,2.357447,2.517318,2.376071
2006,578,2.953787,2.816698,3.18213,2.96853,3.021619,2.860674
2006,581,3.766119,3.495849,5.041401,4.582429,4.011772,3.703675
2006,583,.9983517,.9853347,1.057222,1.03859,1.016343,1.000542
2006,591,.5828518,.5591726,.6404812,.5983957,.5981444,.5697048
2006,605,.7043922,.6691443,.7660463,.6991242,.7217214,.6780611
2006,606,1.769775,1.703319,1.874591,1.806761,1.802785,1.733513
2006,607,1.18567,1.131451,1.440122,1.292277,1.243125,1.169301
2006,611,1.150449,1.172811,1.189122,1.208855,1.164257,1.184462
2006,614,1.208299,1.192194,1.249697,1.217377,1.222914,1.201485
2006,615,2.647313,2.79023,2.626613,2.688702,2.65407,2.775306
2006,616,1.326535,1.320821,1.430014,1.438759,1.354402,1.3498
2006,618,.8554359,.8214027,.9476962,.899417,.8796244,.8409359
2006,620,1.52473,1.447687,1.387945,1.324034,1.49864,1.423958
2006,621,1.257547,1.193142,1.323425,1.250654,1.278434,1.210099
2006,623,1.50101,1.449554,1.63332,1.545819,1.536842,1.475304
2006,624,1.227059,1.186946,1.293726,1.236813,1.247224,1.20164
2006,627,1.317886,1.264338,1.331756,1.289825,1.326509,1.273716
2006,628,1.644216,1.55704,1.712789,1.580509,1.666687,1.567122
2006,630,1.647876,1.587468,1.641251,1.576312,1.653264,1.589501
2006,631,1.213523,1.164079,1.250948,1.20534,1.227313,1.176949
2006,632,1.128286,1.109628,1.184267,1.159171,1.146357,1.124455
2006,633,1.608515,1.525466,1.596107,1.441229,1.612383,1.50894
2006,634,1.628359,1.604308,1.611105,1.565059,1.630533,1.598897
2006,635,5.065608,4.84672,4.836398,4.430086,5.02266,4.741629
2006,636,2.346995,2.304894,2.234634,2.179489,2.33349,2.285716
2006,638,.9301087,.8163328,.8997713,.7786511,.9260249,.808778
2006,640,2.440535,2.419263,2.339981,2.350061,2.422226,2.405327
2006,643,.79537,.73212,.6430894,.6190319,.7552972,.7040199
2006,654,1.127994,1.08729,1.132361,1.103754,1.13373,1.094177
2006,657,2.458299,2.231321,2.47462,2.303272,2.470857,2.254412
2006,662,1.899129,1.743494,2.225389,1.93679,1.994139,1.798709
2006,664,1.133997,1.105563,1.077612,1.055031,1.127294,1.09889
2006,667,.7094448,.6500583,.7387412,.6530104,.7198429,.6517029
2006,671,3.909133,3.851339,3.886615,3.929063,3.918067,3.879616
2006,672,1.967209,1.833392,1.976738,1.802013,1.974985,1.826216
2006,675,.6362494,.5881784,.8223294,.685307,.6858662,.6147306
2006,678,1.064544,1.054753,1.057801,1.043849,1.066537,1.054203
2006,689,.5158362,.5105699,.512874,.5091931,.5172039,.5116088
2006,691,.984092,.8593203,.8368294,.6853624,.9388261,.8015068
2006,693,2.873336,2.779743,2.690967,2.565186,2.84275,2.737934
2006,706,.761056,.7357048,.7889612,.7813384,.7706817,.7481535
2006,707,3.128409,2.903724,2.816395,2.683444,3.05375,2.851552
2006,708,2.1478,1.959685,2.186352,1.985953,2.165761,1.971313
2006,710,1.158805,1.137321,1.174372,1.173982,1.167194,1.149028
2006,711,.738499,.6942348,.8379845,.7749699,.7681718,.7170062
2006,718,2.612709,2.624649,2.478126,2.405884,2.589465,2.574652
2006,722,.7745203,.7418162,.8641129,.8123137,.7977295,.7597366
2006,737,5.351589,4.947762,4.105529,3.982248,5.029152,4.705776
2006,738,4.0095,3.74507,3.172122,3.061188,3.768442,3.56358
2006,739,1.216576,1.217543,1.289911,1.307334,1.239391,1.24215
2006,740,1.36451,1.282347,1.410604,1.31535,1.38066,1.293716
2006,746,1.532547,1.490596,1.583704,1.488285,1.550847,1.493916
2006,747,.6103129,.5807716,.6153365,.5971639,.6139743,.5862021
2006,750,4.568006,4.202198,3.324882,3.361736,4.198597,3.979408
2006,751,1.670288,1.599464,1.760579,1.621927,1.697254,1.609542
2006,753,1.705552,1.629725,1.449641,1.404952,1.649059,1.580763
2006,756,3.043871,2.644093,2.334319,2.148392,2.850245,2.525356
